,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
243,7,38,15,3,3,339,3.0,83,83,3,5,3.0,2.0,1,3.0,2.0,3,3,2.0,1.0,8.0,8.0
244,7,38,15,4,3,243,3.0,83,83,4,5,0.0,3.0,2,0.0,3.0,1,3,3.0,2.0,5.0,5.0
245,7,38,17,1,3,109,2.0,55,55,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,5.0,5.0
246,7,38,17,2,3,109,2.0,48,48,2,3,7.0,0.0,3,7.0,0.0,1,2,1.0,4.0,10.0,10.0
247,7,38,17,3,3,109,2.0,46,46,3,1,2.0,7.0,3,2.0,7.0,3,1,2.0,1.0,3.0,3.0
248,7,38,17,4,3,109,2.0,43,43,1,10,3.0,2.0,1,3.0,2.0,3,3,3.0,2.0,1.0,1.0
249,7,38,17,5,3,109,2.0,43,43,2,10,0.0,3.0,3,0.0,3.0,1,3,1.0,3.0,10.0,10.0
250,7,38,17,6,3,0,2.0,43,43,2,10,-2.0,0.0,3,-2.0,0.0,3,1,2.0,1.0,10.0,10.0
252,7,38,17,8,4,900,2.0,45,45,3,12,-2.0,-2.0,1,-2.0,-2.0,3,3,2.0,2.0,10.0,10.0
254,14,38,17,10,4,845,2.0,18,18,1,10,17.0,-2.0,1,17.0,-2.0,1,3,3.0,2.0,12.0,12.0
256,14,38,19,1,4,751,2.0,25,25,1,10,18.0,17.0,1,18.0,17.0,1,1,1.0,3.0,10.0,10.0
257,14,38,19,2,4,751,2.0,21,21,2,6,4.0,18.0,1,4.0,18.0,1,1,1.0,1.0,10.0,10.0
258,14,38,19,3,4,751,2.0,21,21,3,6,0.0,4.0,1,0.0,4.0,1,1,2.0,1.0,6.0,6.0
260,20,38,19,5,4,639,2.0,2,2,1,2,11.0,0.0,3,11.0,0.0,1,1,3.0,2.0,6.0,6.0
262,20,41,21,2,4,136,2.0,75,75,1,10,2.0,11.0,1,2.0,11.0,3,1,1.0,3.0,2.0,2.0
263,20,41,21,3,4,136,2.0,67,67,2,2,8.0,2.0,3,8.0,2.0,1,3,1.0,1.0,10.0,10.0
264,20,41,21,4,4,136,2.0,63,63,1,10,4.0,8.0,1,4.0,8.0,3,1,2.0,1.0,2.0,2.0
265,20,41,21,5,4,136,2.0,59,59,2,6,4.0,4.0,1,4.0,4.0,1,3,1.0,2.0,10.0,10.0
266,20,41,21,6,4,136,2.0,59,59,3,6,0.0,4.0,1,0.0,4.0,1,1,2.0,1.0,6.0,6.0
267,20,41,21,7,4,136,2.0,53,53,1,10,6.0,0.0,1,6.0,0.0,1,1,3.0,2.0,6.0,6.0
268,20,41,21,8,4,136,2.0,39,39,1,10,14.0,6.0,1,14.0,6.0,1,1,1.0,3.0,10.0,10.0
270,20,41,21,10,4,136,1.0,32,32,2,3,7.0,14.0,1,7.0,14.0,1,1,1.0,1.0,10.0,10.0
271,20,41,21,11,4,136,1.0,19,19,1,10,13.0,7.0,1,13.0,7.0,1,1,2.0,1.0,3.0,3.0
272,20,41,21,12,4,136,1.0,19,19,2,10,0.0,13.0,1,0.0,13.0,1,1,1.0,2.0,10.0,10.0
274,20,41,21,14,4,136,0.0,14,14,3,5,5.0,0.0,1,5.0,0.0,1,1,2.0,1.0,10.0,10.0
275,20,41,21,15,4,0,0.0,14,14,4,5,0.0,5.0,1,0.0,5.0,1,1,3.0,2.0,5.0,5.0
277,0,0,1,2,1,895,3.0,22,78,1,10,,,3,,,4,4,,,,
278,0,0,1,3,1,895,3.0,24,76,2,8,2.0,,3,2.0,,3,4,1.0,,10.0,10.0
279,0,0,1,4,1,895,3.0,26,74,3,6,2.0,2.0,1,2.0,2.0,3,3,2.0,1.0,8.0,8.0
280,0,0,1,5,1,834,3.0,26,74,4,6,0.0,2.0,2,0.0,2.0,1,3,3.0,2.0,6.0,6.0
282,0,3,3,2,1,599,1.0,25,75,1,10,0.0,0.0,3,0.0,0.0,2,1,4.0,3.0,6.0,6.0
283,0,3,3,3,1,599,1.0,25,75,2,10,0.0,0.0,1,0.0,0.0,3,2,1.0,4.0,10.0,10.0
284,0,3,3,4,1,599,1.0,31,69,3,4,6.0,0.0,1,6.0,0.0,1,3,2.0,1.0,10.0,10.0
285,0,3,3,5,1,480,1.0,30,70,4,5,1.0,6.0,2,1.0,6.0,1,1,3.0,2.0,4.0,4.0
286,0,3,5,1,1,265,0.0,9,91,1,10,0.0,1.0,1,0.0,1.0,2,1,4.0,3.0,5.0,5.0
287,0,3,5,2,1,265,0.0,56,44,1,10,47.0,0.0,3,47.0,0.0,1,2,1.0,4.0,10.0,10.0
288,0,3,5,3,1,265,0.0,62,38,2,4,6.0,47.0,1,6.0,47.0,3,1,1.0,1.0,10.0,10.0
289,7,3,5,4,1,170,0.0,94,6,1,6,32.0,6.0,3,32.0,6.0,1,3,2.0,1.0,4.0,4.0
292,7,10,7,2,2,783,-1.0,25,75,1,10,6.0,32.0,1,6.0,32.0,3,1,1.0,2.0,6.0,6.0
293,7,10,7,3,2,783,-1.0,35,65,1,10,10.0,6.0,1,10.0,6.0,1,3,1.0,1.0,10.0,10.0
294,7,10,7,4,2,783,-1.0,42,58,2,3,7.0,10.0,3,7.0,10.0,1,1,1.0,1.0,10.0,10.0
296,7,10,7,6,2,783,-1.0,39,61,3,6,2.0,7.0,3,2.0,7.0,3,1,2.0,1.0,3.0,3.0
297,7,10,7,7,2,783,-1.0,46,54,1,10,7.0,2.0,1,7.0,2.0,3,3,3.0,2.0,6.0,6.0
298,7,10,7,8,2,783,-1.0,46,54,2,10,0.0,7.0,1,0.0,7.0,1,3,1.0,3.0,10.0,10.0
299,7,10,7,9,2,783,-1.0,50,50,3,6,4.0,0.0,3,4.0,0.0,1,1,2.0,1.0,10.0,10.0
300,7,10,7,10,2,554,-1.0,50,50,4,6,0.0,4.0,2,0.0,4.0,3,1,3.0,2.0,6.0,6.0
302,7,10,9,2,2,212,-3.0,24,76,1,10,0.0,0.0,1,0.0,0.0,2,3,4.0,3.0,6.0,6.0
303,7,10,9,3,2,212,-3.0,32,68,2,2,8.0,0.0,3,8.0,0.0,1,2,1.0,4.0,10.0,10.0
304,7,10,9,4,2,212,-3.0,26,74,3,8,6.0,8.0,1,6.0,8.0,3,1,2.0,1.0,2.0,2.0
305,7,10,9,5,2,212,-3.0,49,51,1,10,23.0,6.0,1,23.0,6.0,1,3,3.0,2.0,8.0,8.0
306,7,10,9,6,2,212,-3.0,49,51,2,10,0.0,23.0,3,0.0,23.0,1,1,1.0,3.0,10.0,10.0
307,7,10,9,7,2,212,-3.0,53,47,3,6,4.0,0.0,1,4.0,0.0,3,1,2.0,1.0,10.0,10.0
309,7,10,9,9,2,65,-4.0,66,34,1,10,13.0,4.0,3,13.0,4.0,1,3,3.0,2.0,6.0,6.0
310,7,10,9,10,2,65,-4.0,75,25,2,1,9.0,13.0,3,9.0,13.0,3,1,1.0,3.0,10.0,10.0
311,7,10,9,11,2,65,-4.0,79,21,1,10,4.0,9.0,1,4.0,9.0,3,3,2.0,1.0,1.0,1.0
312,7,10,9,12,2,65,-4.0,82,18,2,7,3.0,4.0,1,3.0,4.0,1,3,1.0,2.0,10.0,10.0
314,7,10,9,14,2,19,-5.0,82,18,3,7,0.0,3.0,1,0.0,3.0,1,1,2.0,1.0,7.0,7.0
315,7,10,9,15,2,19,-5.0,97,3,1,3,15.0,0.0,1,15.0,0.0,1,1,3.0,2.0,7.0,7.0
317,14,10,9,17,2,4,-5.0,97,3,2,3,0.0,15.0,1,0.0,15.0,1,1,1.0,3.0,3.0,3.0
321,14,10,11,1,3,778,3.0,17,83,1,10,3.0,0.0,3,3.0,0.0,1,1,2.0,1.0,3.0,3.0
322,14,10,11,2,3,778,3.0,31,69,1,10,14.0,3.0,3,14.0,3.0,3,1,1.0,2.0,10.0,10.0
323,14,10,11,3,3,778,3.0,30,70,2,11,1.0,14.0,3,1.0,14.0,3,3,1.0,1.0,10.0,10.0
324,14,10,11,4,3,778,3.0,55,45,1,10,25.0,1.0,1,25.0,1.0,3,3,2.0,1.0,11.0,11.0
325,14,10,11,5,3,778,3.0,55,45,2,10,0.0,25.0,3,0.0,25.0,1,3,1.0,2.0,10.0,10.0
326,14,10,11,6,3,778,3.0,72,28,1,10,17.0,0.0,1,17.0,0.0,3,1,2.0,1.0,10.0,10.0
330,14,10,11,10,3,524,2.0,94,6,1,6,14.0,17.0,3,14.0,17.0,1,3,1.0,2.0,10.0,10.0
331,21,10,11,11,3,471,2.0,97,3,2,3,3.0,14.0,1,3.0,14.0,3,1,1.0,1.0,6.0,6.0
333,21,10,13,1,3,337,0.0,33,67,1,10,3.0,3.0,1,3.0,3.0,1,3,2.0,1.0,3.0,3.0
334,21,10,13,2,3,337,0.0,35,65,2,8,2.0,3.0,1,2.0,3.0,1,1,1.0,2.0,10.0,10.0
335,21,10,13,3,3,337,0.0,37,63,3,6,2.0,2.0,1,2.0,2.0,1,1,2.0,1.0,8.0,8.0
336,21,10,13,4,3,337,0.0,63,37,1,10,26.0,2.0,1,26.0,2.0,1,1,3.0,2.0,6.0,6.0
337,21,10,13,5,3,337,0.0,76,24,1,10,13.0,26.0,1,13.0,26.0,1,1,1.0,3.0,10.0,10.0
338,21,10,13,6,3,337,0.0,79,21,2,7,3.0,13.0,1,3.0,13.0,1,1,1.0,1.0,10.0,10.0
339,21,10,13,7,3,337,0.0,79,21,3,7,0.0,3.0,3,0.0,3.0,1,1,2.0,1.0,7.0,7.0
340,21,10,13,8,3,337,0.0,87,13,1,10,8.0,0.0,3,8.0,0.0,3,1,3.0,2.0,7.0,7.0
341,28,10,13,9,3,73,0.0,91,9,2,6,4.0,8.0,1,4.0,8.0,3,3,1.0,3.0,10.0,10.0
346,28,17,15,3,4,894,-1.0,27,73,2,8,9.0,4.0,3,9.0,4.0,1,3,2.0,1.0,6.0,6.0
348,28,17,15,5,4,894,-1.0,29,71,3,6,7.0,9.0,1,7.0,9.0,3,1,2.0,2.0,8.0,8.0
349,28,17,15,6,4,741,-1.0,34,66,4,1,5.0,7.0,2,5.0,7.0,1,3,3.0,2.0,6.0,6.0
351,28,17,17,2,4,633,-3.0,53,47,1,10,0.0,5.0,3,0.0,5.0,2,1,4.0,3.0,1.0,1.0
352,28,17,17,3,4,633,-3.0,53,47,2,10,0.0,0.0,1,0.0,0.0,3,2,1.0,4.0,10.0,10.0
355,28,17,17,6,4,578,-4.0,45,55,3,18,8.0,0.0,1,8.0,0.0,1,3,2.0,1.0,10.0,10.0
357,28,17,17,8,4,491,-4.0,59,41,4,4,14.0,8.0,1,14.0,8.0,1,1,3.0,2.0,18.0,18.0
358,28,17,17,9,4,491,-4.0,59,41,4,4,0.0,14.0,1,0.0,14.0,1,1,4.0,3.0,4.0,4.0
359,28,17,19,1,4,427,-4.0,28,72,1,10,0.0,0.0,3,0.0,0.0,1,1,4.0,4.0,4.0,4.0
360,28,17,19,2,4,427,-4.0,33,67,2,5,5.0,0.0,3,5.0,0.0,3,1,1.0,4.0,10.0,10.0
361,35,17,19,3,4,331,-4.0,32,68,3,6,1.0,5.0,1,1.0,5.0,3,3,2.0,1.0,5.0,5.0
363,35,24,21,2,4,195,-5.0,25,75,1,10,68.0,1.0,3,68.0,1.0,1,3,3.0,2.0,6.0,6.0
366,35,24,21,5,4,148,-6.0,85,15,1,15,70.0,68.0,3,70.0,68.0,3,1,1.0,3.0,10.0,10.0
367,35,24,21,6,4,148,-6.0,90,10,2,10,5.0,70.0,3,5.0,70.0,3,3,1.0,1.0,15.0,15.0
369,35,24,21,8,4,92,-6.0,89,11,3,11,1.0,5.0,3,1.0,5.0,3,3,2.0,1.0,10.0,10.0
371,38,24,21,10,4,84,-6.0,92,8,4,8,3.0,1.0,0,3.0,1.0,3,3,3.0,2.0,11.0,11.0
373,38,24,23,1,4,0,-6.0,56,44,1,10,25.0,3.0,3,25.0,3.0,0,3,4.0,3.0,8.0,8.0
376,0,7,2,2,1,624,3.0,35,65,1,10,,,1,,,4,4,,,,
377,7,7,2,3,1,596,3.0,69,31,1,10,34.0,,1,34.0,,1,4,1.0,,10.0,10.0
380,14,7,5,1,1,260,3.0,11,89,1,10,31.0,34.0,1,31.0,34.0,1,1,1.0,1.0,10.0,10.0
381,14,7,5,2,1,251,3.0,11,89,2,10,0.0,31.0,1,0.0,31.0,1,1,1.0,1.0,10.0,10.0
382,14,7,5,3,1,249,3.0,11,89,3,10,0.0,0.0,1,0.0,0.0,1,1,2.0,1.0,10.0,10.0
383,14,7,5,4,1,235,3.0,11,89,4,10,0.0,0.0,2,0.0,0.0,1,1,3.0,2.0,10.0,10.0
384,14,7,7,1,2,860,3.0,12,88,1,10,4.0,0.0,3,4.0,0.0,2,1,4.0,3.0,10.0,10.0
385,14,7,7,2,2,840,3.0,7,93,2,15,-5.0,4.0,3,-5.0,4.0,3,2,1.0,4.0,10.0,10.0
386,14,7,7,3,2,798,3.0,7,93,3,15,0.0,-5.0,1,0.0,-5.0,3,3,2.0,1.0,15.0,15.0
387,14,7,7,4,2,746,3.0,5,95,4,17,-2.0,0.0,2,-2.0,0.0,1,3,3.0,2.0,15.0,15.0
388,14,10,9,2,2,547,3.0,17,83,1,10,18.0,-2.0,1,18.0,-2.0,2,1,4.0,3.0,17.0,17.0
390,14,10,9,4,2,470,3.0,17,83,3,10,9.0,18.0,3,9.0,18.0,1,2,1.0,4.0,10.0,10.0
391,14,10,9,5,2,433,3.0,15,85,4,12,-2.0,9.0,2,-2.0,9.0,3,1,3.0,1.0,10.0,10.0
392,14,17,11,2,2,290,3.0,25,75,1,10,3.0,-2.0,1,3.0,-2.0,2,3,4.0,3.0,12.0,12.0
393,14,17,11,3,2,267,3.0,31,69,2,4,6.0,3.0,3,6.0,3.0,1,2,1.0,4.0,10.0,10.0
394,14,17,11,4,2,233,3.0,33,67,3,2,2.0,6.0,1,2.0,6.0,3,1,2.0,1.0,4.0,4.0
395,14,17,11,5,2,225,3.0,43,57,1,10,10.0,2.0,1,10.0,2.0,1,3,3.0,2.0,2.0,2.0
396,14,17,11,6,2,205,3.0,83,17,1,10,40.0,10.0,1,40.0,10.0,1,1,1.0,3.0,10.0,10.0
397,14,17,11,7,2,198,3.0,83,17,2,10,0.0,40.0,1,0.0,40.0,1,1,1.0,1.0,10.0,10.0
399,14,17,11,9,2,170,3.0,78,22,3,15,0.0,0.0,3,0.0,0.0,1,1,2.0,1.0,10.0,10.0
400,17,17,11,10,2,152,3.0,72,28,4,21,-6.0,0.0,0,-6.0,0.0,3,1,3.0,2.0,15.0,15.0
402,17,17,13,1,2,12,3.0,20,80,1,10,45.0,-6.0,3,45.0,-6.0,0,3,4.0,3.0,21.0,21.0
404,17,17,14,2,3,872,3.0,30,70,1,10,-1.0,45.0,3,-1.0,45.0,3,0,1.0,4.0,10.0,10.0
405,17,17,14,3,3,849,3.0,33,67,2,7,3.0,-1.0,3,3.0,-1.0,3,3,1.0,1.0,10.0,10.0
406,17,17,14,4,3,818,3.0,47,53,1,10,14.0,3.0,1,14.0,3.0,3,3,2.0,1.0,7.0,7.0
407,17,17,14,5,3,783,3.0,62,38,1,10,15.0,14.0,3,15.0,14.0,1,3,1.0,2.0,10.0,10.0
408,17,17,14,6,3,759,3.0,70,30,2,2,8.0,15.0,1,8.0,15.0,3,1,1.0,1.0,10.0,10.0
409,24,17,14,7,3,739,3.0,86,14,1,10,16.0,8.0,1,16.0,8.0,1,3,2.0,1.0,2.0,2.0
411,24,20,16,2,3,589,3.0,25,75,1,10,14.0,16.0,3,14.0,16.0,1,1,1.0,2.0,10.0,10.0
412,24,20,16,3,3,569,3.0,25,75,2,10,0.0,14.0,3,0.0,14.0,3,1,1.0,1.0,10.0,10.0
413,24,20,16,4,3,522,3.0,25,75,3,10,0.0,0.0,1,0.0,0.0,3,3,2.0,1.0,10.0,10.0
414,24,20,16,5,3,486,3.0,42,58,1,10,17.0,0.0,3,17.0,0.0,1,3,3.0,2.0,10.0,10.0
415,24,20,16,6,3,449,3.0,44,56,2,8,2.0,17.0,1,2.0,17.0,3,1,1.0,3.0,10.0,10.0
417,24,20,16,8,3,398,3.0,66,34,1,15,27.0,2.0,1,27.0,2.0,1,3,2.0,1.0,8.0,8.0
418,31,20,16,9,3,372,3.0,92,8,1,8,26.0,27.0,1,26.0,27.0,1,1,1.0,2.0,15.0,15.0
420,31,20,18,1,3,163,3.0,15,85,1,10,8.0,26.0,1,8.0,26.0,1,1,1.0,1.0,8.0,8.0
421,31,20,18,2,3,158,3.0,15,85,2,10,0.0,8.0,1,0.0,8.0,1,1,1.0,1.0,10.0,10.0
422,31,20,18,3,3,149,3.0,15,85,3,10,0.0,0.0,3,0.0,0.0,1,1,2.0,1.0,10.0,10.0
424,31,20,18,5,3,109,3.0,33,67,1,15,23.0,0.0,1,23.0,0.0,3,1,3.0,2.0,10.0,10.0
425,31,20,18,6,3,96,3.0,68,32,1,10,35.0,23.0,3,35.0,23.0,1,3,1.0,3.0,15.0,15.0
426,31,20,18,7,3,69,3.0,78,22,1,10,10.0,35.0,1,10.0,35.0,3,1,1.0,1.0,10.0,10.0
427,31,20,18,8,3,59,3.0,78,22,2,10,0.0,10.0,1,0.0,10.0,1,3,1.0,1.0,10.0,10.0
428,31,20,18,9,3,30,3.0,84,16,3,4,6.0,0.0,3,6.0,0.0,1,1,2.0,1.0,10.0,10.0
429,31,20,18,10,3,1,3.0,88,12,1,10,4.0,6.0,3,4.0,6.0,3,1,3.0,2.0,4.0,4.0
431,31,20,18,12,4,882,3.0,89,11,2,9,1.0,4.0,1,1.0,4.0,3,3,1.0,3.0,10.0,10.0
433,31,20,18,14,4,848,3.0,84,16,3,14,0.0,1.0,1,0.0,1.0,1,3,2.0,1.0,9.0,9.0
434,31,20,18,15,4,848,3.0,84,16,4,14,0.0,0.0,0,0.0,0.0,1,1,3.0,2.0,14.0,14.0
435,31,20,20,1,4,670,3.0,56,44,1,10,33.0,0.0,3,33.0,0.0,0,1,4.0,3.0,14.0,14.0
436,31,20,20,2,4,640,3.0,61,39,2,5,5.0,33.0,3,5.0,33.0,3,0,1.0,4.0,10.0,10.0
437,31,20,20,3,4,610,3.0,68,32,1,10,7.0,5.0,3,7.0,5.0,3,3,2.0,1.0,5.0,5.0
438,31,20,20,4,4,581,3.0,68,32,2,10,0.0,7.0,3,0.0,7.0,3,3,1.0,2.0,10.0,10.0
439,31,20,20,5,4,535,3.0,72,28,3,6,4.0,0.0,3,4.0,0.0,3,3,2.0,1.0,10.0,10.0
440,38,20,20,6,4,498,3.0,82,18,1,10,10.0,4.0,3,10.0,4.0,3,3,3.0,2.0,6.0,6.0
442,38,20,22,1,4,419,3.0,30,70,1,10,18.0,10.0,3,18.0,10.0,3,3,1.0,3.0,10.0,10.0
443,38,20,22,2,4,376,3.0,34,66,2,6,4.0,18.0,3,4.0,18.0,3,3,1.0,1.0,10.0,10.0
444,38,20,22,3,4,331,3.0,68,32,1,10,34.0,4.0,3,34.0,4.0,3,3,2.0,1.0,6.0,6.0
446,38,20,22,5,4,318,3.0,68,32,2,10,0.0,34.0,3,0.0,34.0,3,3,1.0,2.0,10.0,10.0
447,38,20,22,6,4,282,3.0,71,29,3,7,3.0,0.0,3,3.0,0.0,3,3,2.0,1.0,10.0,10.0
449,38,20,22,8,4,276,2.0,75,25,4,3,4.0,3.0,1,4.0,3.0,3,3,3.0,2.0,7.0,7.0
450,38,20,24,1,4,245,2.0,80,20,1,10,2.0,4.0,3,2.0,4.0,1,3,4.0,3.0,3.0,3.0
451,38,20,24,2,4,209,2.0,77,23,2,13,-3.0,2.0,3,-3.0,2.0,3,1,1.0,4.0,10.0,10.0
453,38,20,24,4,4,206,2.0,82,18,3,8,5.0,-3.0,1,5.0,-3.0,3,3,2.0,1.0,13.0,13.0
454,38,20,24,5,4,200,2.0,82,18,4,8,0.0,5.0,0,0.0,5.0,1,3,3.0,2.0,8.0,8.0
455,38,26,26,2,4,50,1.0,54,46,1,10,35.0,0.0,3,35.0,0.0,0,1,4.0,3.0,8.0,8.0
456,38,26,26,3,4,29,1.0,53,47,2,11,-1.0,35.0,3,-1.0,35.0,3,0,1.0,4.0,10.0,10.0
458,0,0,1,2,1,891,3.0,75,75,1,10,,,1,,,4,4,,,,
459,0,3,3,2,1,685,2.0,75,75,1,10,0.0,,3,0.0,,1,4,1.0,,10.0,10.0
460,0,3,3,3,1,685,2.0,62,62,1,10,13.0,0.0,3,13.0,0.0,3,1,1.0,1.0,10.0,10.0
461,0,3,3,4,1,685,2.0,59,59,2,7,3.0,13.0,3,3.0,13.0,3,3,1.0,1.0,10.0,10.0
462,0,3,3,5,1,685,2.0,55,55,3,3,4.0,3.0,1,4.0,3.0,3,3,2.0,1.0,7.0,7.0
463,0,3,3,6,1,573,2.0,55,55,4,3,0.0,4.0,2,0.0,4.0,1,3,3.0,2.0,3.0,3.0
465,0,3,5,2,1,501,1.0,22,22,2,6,0.0,0.0,3,0.0,0.0,2,1,4.0,3.0,3.0,3.0
466,0,3,5,3,1,501,1.0,13,13,1,10,9.0,0.0,3,9.0,0.0,3,2,2.0,4.0,6.0,6.0
467,0,3,5,4,1,501,1.0,3,3,1,3,10.0,9.0,3,10.0,9.0,3,3,1.0,2.0,10.0,10.0
468,0,3,5,5,1,501,1.0,2,2,2,2,1.0,10.0,3,1.0,10.0,3,3,1.0,1.0,3.0,3.0
469,0,3,5,6,1,501,1.0,1,1,3,1,1.0,1.0,3,1.0,1.0,3,3,2.0,1.0,2.0,2.0
470,6,3,5,7,1,272,1.0,2,2,4,2,-1.0,1.0,1,-1.0,1.0,3,3,3.0,2.0,1.0,1.0
473,6,10,7,2,2,859,1.0,75,75,1,10,2.0,-1.0,1,2.0,-1.0,1,3,4.0,3.0,2.0,2.0
474,6,10,7,3,2,859,1.0,69,69,2,4,6.0,2.0,3,6.0,2.0,1,1,1.0,4.0,10.0,10.0
475,6,10,7,4,2,859,1.0,69,69,3,4,0.0,6.0,1,0.0,6.0,3,1,2.0,1.0,4.0,4.0
476,6,10,7,5,2,771,1.0,69,69,4,4,0.0,0.0,2,0.0,0.0,1,3,3.0,2.0,4.0,4.0
479,6,18,11,3,2,63,0.0,75,75,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,4.0,4.0
480,6,18,11,4,2,63,0.0,72,72,2,7,3.0,0.0,3,3.0,0.0,1,2,1.0,4.0,10.0,10.0
481,6,18,11,5,2,63,0.0,63,63,1,10,9.0,3.0,1,9.0,3.0,3,1,2.0,1.0,7.0,7.0
482,6,18,11,6,2,63,0.0,63,63,2,10,0.0,9.0,1,0.0,9.0,1,3,1.0,2.0,10.0,10.0
483,6,18,11,7,2,0,0.0,63,63,3,10,0.0,0.0,3,0.0,0.0,1,1,2.0,1.0,10.0,10.0
486,6,25,13,2,3,485,3.0,75,75,1,10,7.0,0.0,3,7.0,0.0,3,1,3.0,2.0,10.0,10.0
487,6,25,13,3,3,485,3.0,69,69,2,4,6.0,7.0,3,6.0,7.0,3,3,1.0,3.0,10.0,10.0
488,6,25,13,4,3,485,3.0,68,68,3,3,1.0,6.0,3,1.0,6.0,3,3,2.0,1.0,4.0,4.0
489,6,25,13,5,3,485,3.0,58,58,1,10,10.0,1.0,1,10.0,1.0,3,3,3.0,2.0,3.0,3.0
490,13,25,13,6,3,327,3.0,53,53,2,5,5.0,10.0,1,5.0,10.0,1,3,1.0,3.0,10.0,10.0
493,13,25,15,2,3,239,3.0,93,93,2,16,53.0,5.0,1,53.0,5.0,1,1,2.0,1.0,5.0,5.0
494,13,25,15,3,3,239,3.0,95,95,3,18,-2.0,53.0,3,-2.0,53.0,1,1,2.0,2.0,16.0,16.0
495,13,25,15,4,3,239,3.0,75,75,1,10,20.0,-2.0,1,20.0,-2.0,3,1,3.0,2.0,18.0,18.0
496,13,25,15,5,3,239,3.0,75,75,2,10,0.0,20.0,3,0.0,20.0,1,3,1.0,3.0,10.0,10.0
497,13,25,15,6,3,239,3.0,69,69,3,4,6.0,0.0,1,6.0,0.0,3,1,2.0,1.0,10.0,10.0
498,13,25,15,7,3,239,3.0,61,61,1,10,8.0,6.0,1,8.0,6.0,1,3,3.0,2.0,4.0,4.0
499,13,25,15,8,3,0,3.0,43,43,1,10,18.0,8.0,3,18.0,8.0,1,1,1.0,3.0,10.0,10.0
501,13,25,15,10,4,900,3.0,43,43,2,10,0.0,18.0,3,0.0,18.0,3,1,1.0,1.0,10.0,10.0
502,20,25,15,11,4,858,3.0,28,28,1,10,15.0,0.0,3,15.0,0.0,3,3,2.0,1.0,10.0,10.0
504,20,25,17,1,4,702,3.0,83,83,1,10,28.0,15.0,1,28.0,15.0,3,3,1.0,2.0,10.0,10.0
506,20,25,17,3,4,671,3.0,83,83,2,10,0.0,28.0,3,0.0,28.0,1,3,1.0,1.0,10.0,10.0
507,20,25,17,4,4,671,3.0,80,80,3,7,3.0,0.0,1,3.0,0.0,3,1,2.0,1.0,10.0,10.0
508,20,25,17,5,4,654,3.0,80,80,4,7,0.0,3.0,2,0.0,3.0,1,3,3.0,2.0,7.0,7.0
509,20,28,19,2,4,367,3.0,75,75,1,10,6.0,0.0,3,6.0,0.0,2,1,4.0,3.0,7.0,7.0
