,Offense Score,Defense Score,Drive Number,Play Number,Period,totalseconds,Offense Timeouts,Yard Line,Yards To Goal,Down,Distance,L1 Play Yards,L2 Play Yards,Play Type,L1 Yards Gained,L2 Yards Gained,L1 Play Type,L2 Play Type,L1 Down,L2 Down,L1 Distance,L1 Distance
510,20,28,19,3,4,367,3.0,66,66,2,1,9.0,6.0,3,9.0,6.0,3,2,1.0,4.0,10.0,10.0
511,20,28,19,4,4,367,3.0,63,63,1,10,3.0,9.0,1,3.0,9.0,3,3,2.0,1.0,1.0,1.0
512,20,28,19,5,4,367,3.0,36,36,1,10,27.0,3.0,3,27.0,3.0,1,3,1.0,2.0,10.0,10.0
513,20,28,19,6,4,367,3.0,31,31,2,5,5.0,27.0,3,5.0,27.0,3,1,1.0,1.0,10.0,10.0
515,20,28,19,8,4,222,2.0,28,28,3,2,3.0,5.0,3,3.0,5.0,3,3,2.0,1.0,5.0,5.0
516,20,28,19,9,4,217,2.0,27,27,4,1,1.0,3.0,3,1.0,3.0,3,3,3.0,2.0,2.0,2.0
518,0,0,2,1,1,784,3.0,52,48,1,10,,,3,,,4,4,,,,
519,0,0,2,2,1,766,3.0,52,48,2,10,0.0,,3,0.0,,3,4,1.0,,10.0,10.0
520,0,0,2,3,1,739,3.0,55,45,3,7,3.0,0.0,1,3.0,0.0,3,3,2.0,1.0,10.0,10.0
521,0,0,2,4,1,730,3.0,55,45,4,7,0.0,3.0,2,0.0,3.0,1,3,3.0,2.0,7.0,7.0
522,0,0,4,1,1,629,3.0,18,82,1,10,0.0,0.0,3,0.0,0.0,2,1,4.0,3.0,7.0,7.0
523,0,0,4,2,1,591,3.0,20,80,2,8,2.0,0.0,1,2.0,0.0,3,2,1.0,4.0,10.0,10.0
525,0,0,4,4,1,544,3.0,45,55,1,10,10.0,2.0,3,10.0,2.0,1,3,2.0,1.0,8.0,8.0
526,0,0,4,5,1,505,3.0,50,50,2,5,5.0,10.0,1,5.0,10.0,3,1,1.0,2.0,10.0,10.0
527,0,0,4,6,1,485,3.0,50,50,3,4,0.0,5.0,1,0.0,5.0,1,3,2.0,1.0,5.0,5.0
529,0,0,4,8,1,418,3.0,62,38,2,11,13.0,0.0,3,13.0,0.0,1,1,3.0,2.0,4.0,4.0
530,0,0,4,9,1,373,3.0,65,35,3,8,3.0,13.0,1,3.0,13.0,3,1,2.0,3.0,11.0,11.0
532,0,0,4,11,1,364,2.0,65,35,4,8,0.0,3.0,1,0.0,3.0,1,3,3.0,2.0,8.0,8.0
533,7,0,4,12,1,339,2.0,96,4,1,4,31.0,0.0,1,31.0,0.0,1,1,4.0,3.0,8.0,8.0
536,7,7,6,2,1,151,2.0,25,75,1,10,4.0,31.0,1,4.0,31.0,1,1,1.0,4.0,4.0,4.0
539,7,7,6,5,1,106,2.0,73,27,1,10,18.0,4.0,1,18.0,4.0,1,1,1.0,1.0,10.0,10.0
540,7,7,6,6,1,88,2.0,73,27,2,10,0.0,18.0,1,0.0,18.0,1,1,1.0,1.0,10.0,10.0
541,13,7,6,7,1,71,2.0,79,21,3,4,6.0,0.0,1,6.0,0.0,1,1,2.0,1.0,10.0,10.0
543,13,14,8,2,2,721,2.0,25,75,1,10,21.0,6.0,1,21.0,6.0,1,1,3.0,2.0,4.0,4.0
545,13,14,8,4,2,684,2.0,35,65,1,15,15.0,21.0,1,15.0,21.0,1,1,1.0,3.0,10.0,10.0
546,13,14,8,5,2,675,2.0,50,50,1,10,15.0,15.0,1,15.0,15.0,1,1,1.0,1.0,15.0,15.0
547,13,14,8,6,2,639,2.0,60,40,1,10,10.0,15.0,1,10.0,15.0,1,1,1.0,1.0,10.0,10.0
548,13,14,8,7,2,627,2.0,60,40,2,10,0.0,10.0,1,0.0,10.0,1,1,1.0,1.0,10.0,10.0
549,13,14,8,8,2,610,2.0,97,3,1,3,37.0,0.0,1,37.0,0.0,1,1,2.0,1.0,10.0,10.0
550,21,14,8,9,2,588,2.0,95,5,2,5,-2.0,37.0,3,-2.0,37.0,1,1,1.0,2.0,3.0,3.0
552,21,17,10,2,2,400,2.0,25,75,1,10,5.0,-2.0,1,5.0,-2.0,3,1,2.0,1.0,5.0,5.0
553,21,17,10,3,2,392,2.0,25,75,2,10,0.0,5.0,3,0.0,5.0,1,3,1.0,2.0,10.0,10.0
554,21,17,10,4,2,351,2.0,23,77,3,12,-2.0,0.0,3,-2.0,0.0,3,1,2.0,1.0,10.0,10.0
556,21,24,12,2,2,209,2.0,25,75,1,10,11.0,-2.0,3,11.0,-2.0,3,3,3.0,2.0,12.0,12.0
557,21,24,12,3,2,181,2.0,28,72,2,7,3.0,11.0,1,3.0,11.0,3,3,1.0,3.0,10.0,10.0
558,21,24,12,4,2,164,2.0,28,72,3,7,0.0,3.0,1,0.0,3.0,1,3,2.0,1.0,7.0,7.0
559,21,24,12,5,2,142,2.0,40,60,1,10,12.0,0.0,1,12.0,0.0,1,1,3.0,2.0,7.0,7.0
560,21,31,14,2,2,21,2.0,25,75,1,10,0.0,12.0,1,0.0,12.0,1,1,1.0,3.0,10.0,10.0
562,21,31,14,4,2,20,1.0,28,72,2,7,3.0,0.0,1,3.0,0.0,1,1,1.0,1.0,10.0,10.0
563,21,31,14,5,2,3,1.0,48,52,1,10,20.0,3.0,1,20.0,3.0,1,1,2.0,1.0,7.0,7.0
566,21,31,15,2,3,889,3.0,25,75,1,10,0.0,20.0,3,0.0,20.0,1,1,1.0,2.0,10.0,10.0
567,21,31,15,3,3,857,3.0,34,66,2,1,9.0,0.0,3,9.0,0.0,3,1,1.0,1.0,10.0,10.0
568,21,31,15,4,3,824,3.0,48,52,1,10,14.0,9.0,3,14.0,9.0,3,3,2.0,1.0,1.0,1.0
569,21,31,15,5,3,794,3.0,54,46,2,4,6.0,14.0,3,6.0,14.0,3,3,1.0,2.0,10.0,10.0
570,21,31,15,6,3,756,3.0,64,36,1,10,10.0,6.0,1,10.0,6.0,3,3,2.0,1.0,4.0,4.0
571,21,31,15,7,3,717,3.0,73,27,2,1,9.0,10.0,3,9.0,10.0,1,3,1.0,2.0,10.0,10.0
572,21,31,15,8,3,682,3.0,78,22,1,10,5.0,9.0,3,5.0,9.0,3,1,2.0,1.0,1.0,1.0
573,21,31,15,9,3,647,3.0,78,22,2,10,0.0,5.0,1,0.0,5.0,3,3,1.0,2.0,10.0,10.0
574,21,31,15,10,3,618,3.0,78,22,3,10,0.0,0.0,1,0.0,0.0,1,3,2.0,1.0,10.0,10.0
576,28,31,15,12,3,593,3.0,97,3,1,3,6.0,0.0,3,6.0,0.0,1,1,3.0,2.0,10.0,10.0
578,28,38,17,2,3,554,3.0,25,75,1,10,3.0,6.0,1,3.0,6.0,3,1,1.0,3.0,3.0,3.0
579,28,38,17,3,3,544,3.0,25,75,2,10,0.0,3.0,3,0.0,3.0,1,3,1.0,1.0,10.0,10.0
580,28,38,17,4,3,530,3.0,34,66,3,1,9.0,0.0,3,9.0,0.0,3,1,2.0,1.0,10.0,10.0
581,28,38,17,5,3,499,3.0,35,65,1,10,1.0,9.0,3,1.0,9.0,3,3,3.0,2.0,1.0,1.0
582,28,38,17,6,3,451,3.0,36,64,2,9,1.0,1.0,3,1.0,1.0,3,3,1.0,3.0,10.0,10.0
583,28,38,17,7,3,417,3.0,46,54,1,10,10.0,1.0,3,10.0,1.0,3,3,2.0,1.0,9.0,9.0
584,28,38,17,8,3,371,3.0,51,49,2,5,5.0,10.0,3,5.0,10.0,3,3,1.0,2.0,10.0,10.0
585,28,38,17,9,3,357,3.0,53,47,3,3,2.0,5.0,3,2.0,5.0,3,3,2.0,1.0,5.0,5.0
586,28,38,17,10,3,333,3.0,56,44,1,10,3.0,2.0,1,3.0,2.0,3,3,3.0,2.0,3.0,3.0
587,35,38,17,11,3,311,3.0,67,33,1,10,11.0,3.0,1,11.0,3.0,1,3,1.0,3.0,10.0,10.0
589,35,45,19,2,3,68,3.0,25,75,1,10,33.0,11.0,1,33.0,11.0,1,1,1.0,1.0,10.0,10.0
590,35,45,19,3,3,57,3.0,25,75,2,10,0.0,33.0,3,0.0,33.0,1,1,1.0,1.0,10.0,10.0
591,35,45,19,4,3,19,3.0,24,76,3,11,-1.0,0.0,1,-1.0,0.0,3,1,2.0,1.0,10.0,10.0
593,35,45,19,6,4,900,3.0,26,74,4,9,2.0,-1.0,2,2.0,-1.0,1,3,3.0,2.0,11.0,11.0
594,35,52,21,2,4,853,3.0,25,75,1,10,0.0,2.0,1,0.0,2.0,2,1,4.0,3.0,9.0,9.0
595,35,52,21,3,4,819,3.0,32,68,2,3,7.0,0.0,3,7.0,0.0,1,2,1.0,4.0,10.0,10.0
596,35,52,21,4,4,792,3.0,34,66,3,1,2.0,7.0,3,2.0,7.0,3,1,2.0,1.0,3.0,3.0
597,35,52,21,5,4,776,3.0,36,64,1,10,2.0,2.0,3,2.0,2.0,3,3,3.0,2.0,1.0,1.0
598,35,52,21,6,4,735,3.0,36,64,2,10,0.0,2.0,1,0.0,2.0,3,3,1.0,3.0,10.0,10.0
599,35,52,21,7,4,718,3.0,36,64,3,10,0.0,0.0,1,0.0,0.0,1,3,2.0,1.0,10.0,10.0
600,35,52,21,8,4,694,3.0,52,48,1,10,16.0,0.0,1,16.0,0.0,1,1,3.0,2.0,10.0,10.0
601,35,52,21,9,4,672,3.0,66,34,1,10,14.0,16.0,1,14.0,16.0,1,1,1.0,3.0,10.0,10.0
602,35,52,21,10,4,655,3.0,66,34,2,10,0.0,14.0,1,0.0,14.0,1,1,1.0,1.0,10.0,10.0
603,35,52,21,11,4,641,3.0,68,32,3,8,2.0,0.0,1,2.0,0.0,1,1,2.0,1.0,10.0,10.0
605,35,52,23,1,4,20,3.0,1,99,1,10,0.0,2.0,3,0.0,2.0,1,1,3.0,2.0,8.0,8.0
607,0,0,1,2,1,900,3.0,75,75,1,10,,,3,,,4,4,,,,
608,0,0,1,3,1,900,3.0,75,75,2,10,0.0,,1,0.0,,3,4,1.0,,10.0,10.0
609,0,0,1,4,1,900,3.0,75,75,3,10,0.0,0.0,1,0.0,0.0,1,3,2.0,1.0,10.0,10.0
610,0,0,1,5,1,814,3.0,67,67,4,2,8.0,0.0,2,8.0,0.0,1,1,3.0,2.0,10.0,10.0
611,0,3,3,2,1,441,3.0,76,76,1,10,0.0,8.0,1,0.0,8.0,2,1,4.0,3.0,2.0,2.0
612,0,3,3,3,1,441,3.0,58,58,1,10,18.0,0.0,3,18.0,0.0,1,2,1.0,4.0,10.0,10.0
613,0,3,3,4,1,441,3.0,49,49,2,1,9.0,18.0,3,9.0,18.0,3,1,1.0,1.0,10.0,10.0
614,0,3,3,5,1,441,3.0,45,45,1,10,4.0,9.0,1,4.0,9.0,3,3,2.0,1.0,1.0,1.0
615,0,3,3,6,1,441,3.0,45,45,2,10,0.0,4.0,1,0.0,4.0,1,3,1.0,2.0,10.0,10.0
617,7,3,3,8,1,254,3.0,46,46,3,11,4.0,0.0,1,4.0,0.0,1,1,2.0,1.0,10.0,10.0
619,7,3,5,1,1,204,3.0,27,27,1,10,46.0,4.0,3,46.0,4.0,1,1,3.0,2.0,11.0,11.0
620,14,3,5,2,1,161,3.0,20,20,2,3,7.0,46.0,1,7.0,46.0,3,1,1.0,3.0,10.0,10.0
622,14,10,7,2,2,839,3.0,75,75,1,10,20.0,7.0,1,20.0,7.0,1,3,2.0,1.0,3.0,3.0
623,14,10,7,3,2,839,3.0,75,75,2,10,0.0,20.0,1,0.0,20.0,1,1,1.0,2.0,10.0,10.0
624,14,10,7,4,2,839,3.0,51,51,1,10,24.0,0.0,1,24.0,0.0,1,1,2.0,1.0,10.0,10.0
625,14,10,7,5,2,839,3.0,51,51,2,10,0.0,24.0,1,0.0,24.0,1,1,1.0,2.0,10.0,10.0
626,14,10,7,6,2,839,3.0,51,51,3,10,0.0,0.0,3,0.0,0.0,1,1,2.0,1.0,10.0,10.0
627,14,10,7,7,2,723,3.0,47,47,4,6,4.0,0.0,2,4.0,0.0,3,1,3.0,2.0,10.0,10.0
629,14,17,9,3,2,306,3.0,82,82,2,17,0.0,4.0,3,0.0,4.0,2,3,4.0,3.0,6.0,6.0
630,14,17,9,4,2,306,3.0,60,60,1,10,22.0,0.0,1,22.0,0.0,3,2,2.0,4.0,17.0,17.0
631,14,17,9,5,2,306,3.0,40,40,1,10,20.0,22.0,1,20.0,22.0,1,3,1.0,2.0,10.0,10.0
632,14,17,9,6,2,306,3.0,32,32,2,2,8.0,20.0,3,8.0,20.0,1,1,1.0,1.0,10.0,10.0
633,14,17,9,7,2,306,3.0,33,33,3,3,-1.0,8.0,3,-1.0,8.0,3,1,2.0,1.0,2.0,2.0
634,14,17,9,8,2,75,3.0,39,39,4,9,-6.0,-1.0,1,-6.0,-1.0,3,3,3.0,2.0,3.0,3.0
637,14,27,12,2,3,549,3.0,70,70,1,10,0.0,-6.0,1,0.0,-6.0,1,3,4.0,3.0,9.0,9.0
639,14,27,12,4,3,549,3.0,60,60,1,15,15.0,0.0,1,15.0,0.0,1,1,1.0,4.0,10.0,10.0
640,14,27,12,5,3,549,3.0,65,65,2,20,-5.0,15.0,1,-5.0,15.0,1,1,1.0,1.0,15.0,15.0
641,14,27,12,6,3,549,3.0,65,65,3,20,0.0,-5.0,3,0.0,-5.0,1,1,2.0,1.0,20.0,20.0
642,14,27,12,7,3,430,3.0,52,52,4,7,13.0,0.0,2,13.0,0.0,3,1,3.0,2.0,20.0,20.0
643,14,34,14,2,3,414,3.0,75,75,1,10,0.0,13.0,1,0.0,13.0,2,3,4.0,3.0,7.0,7.0
644,14,34,14,3,3,414,3.0,74,74,2,9,1.0,0.0,1,1.0,0.0,1,2,1.0,4.0,10.0,10.0
645,14,34,14,4,3,414,3.0,74,74,3,9,0.0,1.0,1,0.0,1.0,1,1,2.0,1.0,9.0,9.0
646,14,34,14,5,3,358,3.0,74,74,4,9,0.0,0.0,2,0.0,0.0,1,1,3.0,2.0,9.0,9.0
647,14,34,16,1,3,116,3.0,59,59,1,10,0.0,0.0,1,0.0,0.0,2,1,4.0,3.0,9.0,9.0
648,14,34,16,2,3,87,3.0,56,56,2,7,3.0,0.0,1,3.0,0.0,1,2,1.0,4.0,10.0,10.0
650,14,34,16,4,3,87,3.0,45,45,1,10,0.0,3.0,1,0.0,3.0,1,1,2.0,1.0,7.0,7.0
652,14,34,16,6,3,87,3.0,47,47,3,12,0.0,0.0,1,0.0,0.0,1,1,1.0,2.0,10.0,10.0
653,14,34,16,7,3,16,3.0,47,47,4,12,0.0,0.0,1,0.0,0.0,1,1,3.0,1.0,12.0,12.0
654,14,41,18,2,4,636,3.0,75,75,1,10,0.0,0.0,3,0.0,0.0,1,1,4.0,3.0,12.0,12.0
655,14,41,18,3,4,636,3.0,76,76,2,11,-1.0,0.0,1,-1.0,0.0,3,1,1.0,4.0,10.0,10.0
656,14,41,18,4,4,636,3.0,68,68,3,3,8.0,-1.0,1,8.0,-1.0,1,3,2.0,1.0,11.0,11.0
659,14,41,18,7,4,636,3.0,61,61,1,15,12.0,8.0,1,12.0,8.0,1,1,3.0,2.0,3.0,3.0
660,14,41,18,8,4,636,3.0,61,61,2,15,0.0,12.0,1,0.0,12.0,1,1,1.0,3.0,15.0,15.0
661,14,41,18,9,4,636,3.0,56,56,3,10,5.0,0.0,1,5.0,0.0,1,1,2.0,1.0,15.0,15.0
662,14,41,18,10,4,466,3.0,56,56,4,10,0.0,5.0,2,0.0,5.0,1,1,3.0,2.0,10.0,10.0
663,14,41,20,1,4,293,3.0,61,61,1,10,0.0,0.0,3,0.0,0.0,2,1,4.0,3.0,10.0,10.0
664,14,41,20,2,4,293,3.0,59,59,2,8,2.0,0.0,1,2.0,0.0,3,2,1.0,4.0,10.0,10.0
665,14,41,20,3,4,293,3.0,59,59,3,8,0.0,2.0,3,0.0,2.0,1,3,2.0,1.0,8.0,8.0
666,14,41,20,4,4,293,3.0,51,51,1,10,8.0,0.0,3,8.0,0.0,3,1,3.0,2.0,8.0,8.0
667,14,41,20,5,4,293,3.0,39,39,1,10,12.0,8.0,1,12.0,8.0,3,3,1.0,3.0,10.0,10.0
668,14,41,20,6,4,293,3.0,39,39,2,10,0.0,12.0,3,0.0,12.0,1,3,1.0,1.0,10.0,10.0
669,14,41,20,7,4,293,3.0,32,32,3,3,7.0,0.0,1,7.0,0.0,3,1,2.0,1.0,10.0,10.0
670,14,41,20,8,4,169,3.0,32,32,4,3,0.0,7.0,1,0.0,7.0,1,3,3.0,2.0,3.0,3.0
672,0,0,2,1,1,758,3.0,40,60,1,10,,,3,,,4,4,,,,
673,0,0,2,2,1,726,3.0,46,54,2,4,6.0,,3,6.0,,3,4,1.0,,10.0,10.0
674,0,0,2,3,1,695,3.0,54,46,1,10,8.0,6.0,3,8.0,6.0,3,3,2.0,1.0,4.0,4.0
675,0,0,2,4,1,653,3.0,58,42,2,6,4.0,8.0,3,4.0,8.0,3,3,1.0,2.0,10.0,10.0
676,0,0,2,5,1,611,3.0,59,41,3,5,1.0,4.0,3,1.0,4.0,3,3,2.0,1.0,6.0,6.0
678,0,0,2,7,1,559,3.0,76,24,1,10,2.0,1.0,3,2.0,1.0,3,3,3.0,2.0,5.0,5.0
679,0,0,2,8,1,525,3.0,79,21,2,7,3.0,2.0,3,3.0,2.0,3,3,1.0,3.0,10.0,10.0
680,0,0,2,9,1,507,3.0,81,19,3,5,2.0,3.0,1,2.0,3.0,3,3,2.0,1.0,7.0,7.0
681,3,0,2,10,1,503,3.0,81,19,4,5,0.0,2.0,0,0.0,2.0,1,3,3.0,2.0,5.0,5.0
683,3,7,4,2,1,382,3.0,25,75,1,10,36.0,0.0,1,36.0,0.0,0,1,4.0,3.0,5.0,5.0
684,3,7,4,3,1,375,3.0,25,75,2,10,0.0,36.0,3,0.0,36.0,1,0,1.0,4.0,10.0,10.0
685,3,7,4,4,1,340,3.0,27,73,3,8,2.0,0.0,1,2.0,0.0,3,1,2.0,1.0,10.0,10.0
686,3,7,4,5,1,324,3.0,27,73,4,8,0.0,2.0,2,0.0,2.0,1,3,3.0,2.0,8.0,8.0
687,3,7,6,1,1,227,3.0,8,92,1,10,28.0,0.0,3,28.0,0.0,2,1,4.0,3.0,8.0,8.0
688,3,7,6,2,1,190,3.0,9,91,2,9,1.0,28.0,1,1.0,28.0,3,2,1.0,4.0,10.0,10.0
689,3,7,6,3,1,149,3.0,15,85,3,3,6.0,1.0,1,6.0,1.0,1,3,2.0,1.0,9.0,9.0
690,3,7,6,4,1,109,3.0,20,80,1,10,5.0,6.0,3,5.0,6.0,1,1,3.0,2.0,3.0,3.0
692,3,7,6,6,1,91,3.0,36,64,1,10,16.0,5.0,3,16.0,5.0,3,1,1.0,3.0,10.0,10.0
693,3,7,6,7,1,51,3.0,38,62,2,8,2.0,16.0,1,2.0,16.0,3,3,1.0,1.0,10.0,10.0
697,3,7,6,11,2,893,3.0,43,57,1,15,5.0,2.0,3,5.0,2.0,1,3,2.0,1.0,8.0,8.0
698,3,7,6,12,2,857,3.0,67,33,1,10,24.0,5.0,3,24.0,5.0,3,1,1.0,2.0,15.0,15.0
699,3,7,6,13,2,816,3.0,71,29,2,6,4.0,24.0,3,4.0,24.0,3,3,1.0,1.0,10.0,10.0
700,10,7,6,14,2,776,3.0,76,24,3,1,5.0,4.0,3,5.0,4.0,3,3,2.0,1.0,6.0,6.0
702,10,10,8,2,2,548,3.0,21,79,1,10,24.0,5.0,3,24.0,5.0,3,3,3.0,2.0,1.0,1.0
703,10,10,8,3,2,503,3.0,21,79,2,10,0.0,24.0,1,0.0,24.0,3,3,1.0,3.0,10.0,10.0
704,10,10,8,4,2,495,3.0,21,79,3,10,0.0,0.0,1,0.0,0.0,1,3,2.0,1.0,10.0,10.0
705,10,10,8,5,2,478,3.0,35,65,1,10,14.0,0.0,1,14.0,0.0,1,1,3.0,2.0,10.0,10.0
706,10,10,8,6,2,441,3.0,32,68,2,13,-3.0,14.0,1,-3.0,14.0,1,1,1.0,3.0,10.0,10.0
707,10,10,8,7,2,433,3.0,32,68,3,13,0.0,-3.0,3,0.0,-3.0,1,1,2.0,1.0,13.0,13.0
708,10,10,8,8,2,394,3.0,47,53,1,10,15.0,0.0,3,15.0,0.0,3,1,3.0,2.0,13.0,13.0
709,17,10,8,9,2,361,3.0,70,30,1,10,23.0,15.0,1,23.0,15.0,3,3,1.0,3.0,10.0,10.0
711,17,17,10,2,2,152,3.0,18,82,1,10,30.0,23.0,1,30.0,23.0,1,3,1.0,1.0,10.0,10.0
712,17,17,10,3,2,117,3.0,24,76,2,4,6.0,30.0,3,6.0,30.0,1,1,1.0,1.0,10.0,10.0
713,17,17,10,4,2,78,3.0,25,75,3,3,1.0,6.0,3,1.0,6.0,3,1,2.0,1.0,4.0,4.0
715,17,17,10,6,2,59,3.0,27,73,4,1,2.0,1.0,2,2.0,1.0,3,3,3.0,2.0,3.0,3.0
716,17,17,12,2,3,895,3.0,25,75,1,10,0.0,2.0,3,0.0,2.0,2,3,4.0,3.0,1.0,1.0
717,17,17,12,3,3,855,3.0,31,69,2,4,6.0,0.0,3,6.0,0.0,3,2,1.0,4.0,10.0,10.0
718,17,17,12,4,3,833,3.0,42,58,1,10,11.0,6.0,3,11.0,6.0,3,3,2.0,1.0,4.0,4.0
719,17,17,12,5,3,800,3.0,44,56,2,8,2.0,11.0,1,2.0,11.0,3,3,1.0,2.0,10.0,10.0
720,17,17,12,6,3,780,3.0,66,34,1,10,22.0,2.0,3,22.0,2.0,1,3,2.0,1.0,8.0,8.0
721,17,17,12,7,3,755,3.0,73,27,2,3,7.0,22.0,1,7.0,22.0,3,1,1.0,2.0,10.0,10.0
722,17,17,12,8,3,720,3.0,79,21,1,10,6.0,7.0,1,6.0,7.0,1,3,2.0,1.0,3.0,3.0
724,17,17,12,10,3,685,3.0,78,22,2,11,-1.0,6.0,1,-1.0,6.0,1,1,1.0,2.0,10.0,10.0
725,17,17,12,11,3,647,3.0,83,17,3,6,5.0,-1.0,3,5.0,-1.0,1,1,2.0,1.0,11.0,11.0
726,17,17,12,12,3,616,3.0,90,10,1,10,7.0,5.0,3,7.0,5.0,3,1,3.0,2.0,6.0,6.0
727,24,17,12,13,3,598,3.0,98,2,2,2,8.0,7.0,1,8.0,7.0,3,3,1.0,3.0,10.0,10.0
729,24,24,14,2,3,418,3.0,20,80,1,10,2.0,8.0,1,2.0,8.0,1,3,2.0,1.0,2.0,2.0
730,24,24,14,3,3,381,3.0,26,74,2,4,6.0,2.0,3,6.0,2.0,1,1,1.0,2.0,10.0,10.0
731,24,24,14,4,3,348,3.0,29,71,3,1,3.0,6.0,3,3.0,6.0,3,1,2.0,1.0,4.0,4.0
732,24,24,14,5,3,307,3.0,32,68,1,10,3.0,3.0,3,3.0,3.0,3,3,3.0,2.0,1.0,1.0
733,24,24,14,6,3,273,3.0,39,61,2,3,7.0,3.0,3,7.0,3.0,3,3,1.0,3.0,10.0,10.0
734,24,24,14,7,3,234,3.0,43,57,1,10,4.0,7.0,1,4.0,7.0,3,3,2.0,1.0,3.0,3.0
735,24,24,14,8,3,198,3.0,54,46,1,10,11.0,4.0,1,11.0,4.0,1,3,1.0,2.0,10.0,10.0
736,24,24,14,9,3,193,3.0,54,46,2,10,0.0,11.0,3,0.0,11.0,1,1,1.0,1.0,10.0,10.0
737,24,24,14,10,3,157,3.0,67,33,1,10,13.0,0.0,3,13.0,0.0,3,1,2.0,1.0,10.0,10.0
738,24,24,14,11,3,116,3.0,69,31,2,8,2.0,13.0,3,2.0,13.0,3,3,1.0,2.0,10.0,10.0
739,24,24,14,12,3,83,3.0,80,20,1,10,11.0,2.0,3,11.0,2.0,3,3,2.0,1.0,8.0,8.0
740,24,24,14,13,3,39,3.0,81,19,2,9,1.0,11.0,3,1.0,11.0,3,3,1.0,2.0,10.0,10.0
742,24,24,14,15,4,892,3.0,80,20,3,10,-1.0,1.0,1,-1.0,1.0,3,3,2.0,1.0,9.0,9.0
743,24,24,14,16,4,852,3.0,88,12,4,2,8.0,-1.0,3,8.0,-1.0,1,3,3.0,2.0,10.0,10.0
744,24,24,16,1,4,590,3.0,25,75,1,10,0.0,8.0,1,0.0,8.0,3,1,4.0,3.0,2.0,2.0
745,24,24,16,2,4,569,3.0,33,67,2,2,8.0,0.0,3,8.0,0.0,1,3,1.0,4.0,10.0,10.0
746,24,24,16,3,4,538,3.0,35,65,1,10,2.0,8.0,3,2.0,8.0,3,1,2.0,1.0,2.0,2.0
747,24,24,16,4,4,430,3.0,40,60,2,5,5.0,2.0,3,5.0,2.0,3,3,1.0,2.0,10.0,10.0
748,24,24,16,5,4,420,3.0,42,58,3,3,2.0,5.0,3,2.0,5.0,3,3,2.0,1.0,5.0,5.0
749,24,24,16,6,4,412,3.0,34,66,3,11,-8.0,2.0,1,-8.0,2.0,3,3,3.0,2.0,3.0,3.0
750,24,24,16,7,4,407,3.0,44,56,4,1,10.0,-8.0,3,10.0,-8.0,1,3,3.0,3.0,11.0,11.0
751,24,24,18,1,4,228,3.0,9,91,1,10,0.0,10.0,1,0.0,10.0,3,1,4.0,3.0,1.0,1.0
752,24,24,18,2,4,190,3.0,13,87,2,6,4.0,0.0,3,4.0,0.0,1,3,1.0,4.0,10.0,10.0
753,24,24,18,3,4,154,3.0,17,83,3,2,4.0,4.0,1,4.0,4.0,3,1,2.0,1.0,6.0,6.0
755,24,24,18,5,4,146,3.0,12,88,4,7,0.0,4.0,2,0.0,4.0,1,3,3.0,2.0,2.0,2.0
